clave,descripcion,clase_o_division,peligro_secundario,nombre_tecnico
1421,"METALES ALCALINOS, ALEACIÓN LÍQUIDA DE, N.E.P.",4.3,,Substancias que en contacto con el agua desprenden gases inflamables.
1422,"POTASIO Y SODIO, ALEACIONES LÍQUIDAS DE",4.3,,
1423,RUBIDIO,4.3,,
1426,BOROHIDRURO DE SODIO,4.3,,
1427,HIDRURO DE SODIO,4.3,,
1428,SODIO,4.3,,
1431,METILATO DE SODIO,4.2,8,
1432,FOSFURO DE SODIO,4.3,6.1,
1433,FOSFUROS DE ESTAÑO (IV),4.3,6.1,
1435,"CINC, CENIZAS DE",4.3,,
1436,CINC EN POLVO,4.3,4.2,
1437,HIDRURO DE CIRCONIO,4.1,,
1438,NITRATO DE ALUMINIO,5.1,,
1439,DICROMATO DE AMONIO,5.1,,
1442,PERCLORATO DE AMONIO,5.1,,
1444,PERSULFATO DE AMONIO,5.1,,
1445,"CLORATO DE BARIO, SÓLIDO",5.1,6.1,
1446,NITRATO DE BARIO,5.1,6.1,
1447,"PERCLORATO DE BARIO, SÓLIDO",5.1,6.1,
1448,PERMANGANATO DE BARIO,5.1,6.1,
1449,PERÓXIDO DE BARIO,5.1,6.1,
1450,"BROMATOS INORGÁNICOS, N.E.P.",5.1,,Oxidantes.
1451,NITRATO DE CESIO,5.1,,
1452,CLORATO DE CALCIO,5.1,,
1453,CLORITO DE CALCIO,5.1,,
1454,NITRATO DE CALCIO,5.1,,
1455,PERCLORATO DE CALCIO,5.1,,
1456,PERMANGANATO DE CALCIO,5.1,,
1457,PERÓXIDO DE CALCIO,5.1,,
1458,"CLORATO Y BORATO, MEZCLA DE",5.1,,
1459,"CLORATO Y CLORURO DE MAGNESIO, MEZCLA SÓLIDA DE",5.1,,
1461,"CLORATOS INORGÁNICOS, N.E.P.",5.1,,Oxidantes.
1462,"CLORITOS INORGÁNICOS, N.E.P.",5.1,,Oxidantes.
1463,TRIÓXIDO DE CROMO ANHIDRO,5.1,6.1\n8,
1465,NITRATO DE DIDIMIO,5.1,,
1466,NITRATO DE HIERRO(III),5.1,,
1467,NITRATO DE GUANIDINA,5.1,,
1469,NITRATO DE PLOMO,5.1,6.1,
1470,"PERCLORATO DE PLOMO, SÓLIDO",5.1,6.1,
1471,"HIPOCLORITO DE LITIO, SECO, o HIPOCLORITO DE LITIO EN MEZCLA",5.1,,
1472,PERÓXIDO DE LITIO,5.1,,
1473,BROMATO DE MAGNESIO,5.1,,
1474,NITRATO DE MAGNESIO,5.1,,
1475,PERCLORATO DE MAGNESIO,5.1,,
1476,PERÓXIDO DE MAGNESIO,5.1,,
1477,"NITRATOS INORGÁNICOS, N.E.P.",5.1,,Oxidantes.
1479,"SÓLIDO COMBURENTE, N.E.P.",5.1,,Oxidantes.
1481,"PERCLORATOS INORGÁNICOS, N.E.P.",5.1,,Oxidantes.
1482,"PERMANGANATOS INORGÁNICOS, N.E.P.",5.1,,Oxidantes.
1483,"PERÓXIDOS INORGÁNICOS, N.E.P.",5.1,,Oxidantes.
1484,BROMATO DE POTASIO,5.1,,
1485,CLORATO DE POTASIO,5.1,,
1486,NITRATO DE POTASIO,5.1,,
1487,"NITRATO DE POTASIO Y NITRITO DE SODIO, MEZCLA DE",5.1,,
1488,NITRITO DE POTASIO,5.1,,
1489,PERCLORATO DE POTASIO,5.1,,
1490,PERMANGANATO DE POTASIO,5.1,,
1491,PERÓXIDO DE POTASIO,5.1,,
1492,PERSULFATO DE POTASIO,5.1,,
1493,NITRATO DE PLATA,5.1,,
1494,BROMATO DE SODIO,5.1,,
1495,CLORATO DE SODIO,5.1,,
1496,CLORITO DE SODIO,5.1,,
1498,NITRATO DE SODIO,5.1,,
1499,"NITRATO DE SODIO Y NITRATO DE POTASIO, MEZCLA DE",5.1,,
1500,NITRITO DE SODIO,5.1,6.1,
1502,PERCLORATO DE SODIO,5.1,,
1503,PERMANGANATO DE SODIO,5.1,,
1504,PERÓXIDO DE SODIO,5.1,,
1505,PERSULFATO DE SODIO,5.1,,
1506,CLORATO DE ESTRONCIO,5.1,,
1507,NITRATO DE ESTRONCIO,5.1,,
1508,PERCLORATO DE ESTRONCIO,5.1,,
1509,PERÓXIDO DE ESTRONCIO,5.1,,
1510,TETRANITROMETANO,6.1,5.1,
1511,UREA-PERÓXIDO DE HIDRÓGENO,5.1,8,
1512,NITRITO DE CINC Y AMONIO,5.1,,
1513,CLORATO DE CINC,5.1,,
1514,NITRATO DE CINC,5.1,,
1515,PERMANGANATO DE CINC,5.1,,
1516,PERÓXIDO DE CINC,5.1,,
1517,"PICRAMATO DE CIRCONIO HUMIDIFICADO con un mínimo del 20%, en masa, de agua",4.1,,
1541,"CIANHIDRINA DE LA ACETONA, ESTABILIZADA",6.1,,
1544,"ALCALOIDES SÓLIDOS, N.E.P., o SALES DE ALCALOIDES, SÓLIDAS, N.E.P.",6.1,,Tóxicos
1545,ISOTIOCIANATO DE ALILO ESTABILIZADO,6.1,3,
1546,ARSENIATO DE AMONIO,6.1,,
1547,ANILINA,6.1,,
1548,CLORHIDRATO DE ANILINA,6.1,,
1549,"ANTIMONIO, COMPUESTO INORGÁNICO SÓLIDO DE, N.E.P.",6.1,,Tóxicos
1550,LACTATO DE ANTIMONIO,6.1,,
1551,TARTRATO DE ANTIMONIO Y POTASIO,6.1,,
1553,ÁCIDO ARSÉNICO LÍQUIDO,6.1,,
1554,ÁCIDO ARSÉNICO SÓLIDO,6.1,,
1555,BROMURO DE ARSÉNICO,6.1,,
1556,"ARSÉNICO, COMPUESTO LÍQUIDO DE, N.E.P., inorgánico, en particular arseniatos, n.e.p., arsenitos, n.e.p., sulfuros de arsénico, n.e.p., y compuesto orgánico de arsénico, n.e.p.",6.1,,Tóxicos
1557,"ARSÉNICO, COMPUESTO SÓLIDO DE, N.E.P., inorgánico, en particular arseniatos n.e.p., arsenitos n.e.p., sulfuros de arsénico n.e.p. y compuesto orgánico de arsénico n.e.p.",6.1,,Tóxicos
1558,ARSÉNICO,6.1,,
1559,PENTÓXIDO DE ARSÉNICO,6.1,,
1560,TRICLORURO DE ARSÉNICO,6.1,,
1561,TRIÓXIDO DE ARSÉNICO,6.1,,
1562,POLVO ARSENICAL,6.1,,
1564,"BARIO, COMPUESTO DE, N.E.P.",6.1,,Tóxicos
1565,CIANURO DE BARIO,6.1,,
1566,"BERILIO, COMPUESTO DE, N.E.P.",6.1,,Tóxicos
1567,BERILIO EN POLVO,6.1,4.1,
1569,BROMOACETONA,6.1,3,
1570,BRUCINA,6.1,,
1571,"AZIDA DE BARIO HUMIDIFICADA1 con un mínimo del 50%, en masa, de agua",4.1,6.1,
1572,ÁCIDO CACODÍLICO,6.1,,
1573,ARSENIATO DE CALCIO,6.1,,
1574,ARSENIATO DE CALCIO Y ARSENITO DE CALCIO EN MEZCLA SÓLIDA,6.1,,
1575,CIANURO DE CALCIO,6.1,,
1577,CLORODINITROBENCENOS LÍQUIDOS,6.1,,
1578,CLORONITROBENCENOS SÓLIDOS,6.1,,
1579,"CLORHIDRATO DE 4- CLORO-o-TOLUIDINA, SÓLIDO",6.1,,
1580,CLOROPICRINA,6.1,,
1581,"CLOROPICRINA Y BROMURO DE METILO, MEZCLA DE, con más del 2% de cloropicrina",2.3,,
1582,"CLOROPICRINA Y CLORURO DE METILO, MEZCLA DE",2.3,,
1583,"CLOROPICRINA EN MEZCLA, N.E.P.",6.1,,Tóxicos
1585,ACETOARSENITO DE COBRE,6.1,,
1586,ARSENITO DE COBRE,6.1,,
1587,CIANURO DE COBRE,6.1,,
1588,"CIANUROS INORGÁNICOS, SÓLIDOS, N.E.P.",6.1,,Tóxicos
1589,CLORURO DE CIANÓGENO ESTABILIZADO,2.3,8,
1590,DICLOROANILINAS LÍQUIDAS,6.1,,
1591,o-DICLOROBENCENO,6.1,,
1593,DICLOROMETANO,6.1,,
1594,SULFATO DE DIETILO,6.1,,
1595,SULFATO DE DIMETILO,6.1,8,
1596,DINITROANILINAS,6.1,,
1597,DINITROBENCENOS LÍQUIDOS,6.1,,
1598,DINITRO-o-CRESOL,6.1,,
1599,DINITROFENOL EN SOLUCIÓN,6.1,,
1600,DINITROTOLUENOS FUNDIDOS,6.1,,
1601,"DESINFECTANTE SÓLIDO, TÓXICO, N.E.P.",6.1,,Tóxicos
1602,"COLORANTE LÍQUIDO, TÓXICO, N.E.P. o MATERIA INTERMEDIA PARA COLORANTES, LÍQUIDA, TÓXICA, N.E.P.",6.1,,Tóxicos
1603,BROMOACETATO DE ETILO,6.1,3,
1604,ETILENDIAMINA,8,3,
1605,DIBROMURO DE ETILENO,6.1,,
1606,ARSENIATO DE HIERRO(III),6.1,,
1607,ARSENITO DE HIERRO(III),6.1,,
1608,ARSENIATO DE HIERRO(II),6.1,,
1611,TETRAFOSFATO DE HEXAETILO,6.1,,
1612,"TETRAFOSFATO DE HEXAETILO Y GAS COMPRIMIDO, MEZCLA DE",2.3,,
1613,ÁCIDO CIANHÍDRICO EN SOLUCIÓN ACUOSA (CIANURO DE HIDRÓGENO EN SOLUCIÓN ACUOSA) con un máximo del 20% de cianuro de hidrógeno,6.1,,
1614,CIANURO DE HIDRÓGENO ESTABILIZADO con menos del 3% de agua y absorbido en una materia porosa inerte,6.1,,
1616,ACETATO DE PLOMO,6.1,,
1617,ARSENIATOS DE PLOMO,6.1,,
1618,ARSENITOS DE PLOMO,6.1,,
1620,CIANURO DE PLOMO,6.1,,
1621,PÚRPURA DE LONDRES,6.1,,
1622,ARSENIATO DE MAGNESIO,6.1,,
1623,ARSENIATO DE MERCURIO(II),6.1,,
1624,CLORURO DE MERCURIO(II),6.1,,
1625,NITRATO DE MERCURIO(II),6.1,,
1626,CIANURO DE MERCURIO Y POTASIO,6.1,,
1627,NITRATO DE MERCURIO(I),6.1,,
1629,ACETATO DE MERCURIO,6.1,,
1630,CLORURO DE MERCURIO Y AMONIO,6.1,,
1631,BENZOATO DE MERCURIO,6.1,,
1634,BROMUROS DE MERCURIO,6.1,,
1636,CIANURO DE MERCURIO,6.1,,
1637,GLUCONATO DE MERCURIO,6.1,,
1638,YODURO DE MERCURIO,6.1,,
1639,NUCLEATO DE MERCURIO,6.1,,
1640,OLEATO DE MERCURIO,6.1,,
1641,ÓXIDO DE MERCURIO,6.1,,
1642,"OXICIANURO DE MERCURIO, DESENSIBILIZADO",6.1,,
1643,YODURO DE MERCURIO Y POTASIO,6.1,,
1644,SALICILATO DE MERCURIO,6.1,,
1645,SULFATO DE MERCURIO,6.1,,
1646,TIOCIANATO DE MERCURIO,6.1,,
1647,"BROMURO DE METILO Y DIBROMURO DE ETILENO, MEZCLA LÍQUIDA DE",6.1,,
1648,ACETONITRILO,3,,
1649,MEZCLA DE ANTIDETONANTE PARA COMBUSTIBLES DE MOTORES,6.1,,
1650,beta-NAFTILAMINA SÓLIDA,6.1,,
1651,NAFTILTIOUREA,6.1,,
1652,NAFTILUREA,6.1,,
1653,CIANURO DE NÍQUEL,6.1,,
1654,NICOTINA,6.1,,
1655,"NICOTINA, COMPUESTO SÓLIDO DE, N.E.P., o PREPARADO SÓLIDO A BASE DE NICOTINA, N.E.P.",6.1,,Tóxicos
1656,"CLORHIDRATO DE NICOTINA, LÍQUIDO o EN SOLUCIÓN",6.1,,
1657,SALICILATO DE NICOTINA,6.1,,
1658,"SULFATO DE NICOTINA, EN SOLUCIÓN",6.1,,
1659,TARTRATO DE NICOTINA,6.1,,
1660,ÓXIDO NÍTRICO COMPRIMIDO,2.3,5.1\n8,
1661,"NITROANILINAS (o-, m-, p-)",6.1,,
1662,NITROBENCENO,6.1,,
1663,"NITROFENOLES (o-, m-, p-)",6.1,,
1664,NITROTOLUENOS LÍQUIDOS,6.1,,
1665,NITROXILENOS LÍQUIDOS,6.1,,
1669,PENTACLOROETANO,6.1,,
1670,PERCLOROMETIL- MERCAPTANO,6.1,,
1671,FENOL SÓLIDO,6.1,,
1672,CLORURO DE FENILCARBILAMINA,6.1,,
1673,"FENILENDIAMINAS (o-, m-, p-)",6.1,,
1674,ACETATO DE FENILMERCURIO,6.1,,
1677,ARSENIATO DE POTASIO,6.1,,
1678,ARSENITO DE POTASIO,6.1,,
1679,CUPROCIANURO DE POTASIO,6.1,,
1680,CIANURO DE POTASIO SÓLIDO,6.1,,
1683,ARSENITO DE PLATA,6.1,,
1684,CIANURO DE PLATA,6.1,,
1685,ARSENIATO DE SODIO,6.1,,
1686,ARSENITO DE SODIO EN SOLUCIÓN ACUOSA,6.1,,
1687,AZIDA DE SODIO,6.1,,
1688,CACODILATO DE SODIO,6.1,,
1689,CIANURO DE SODIO SÓLIDO,6.1,,
1690,FLUORURO DE SODIO SÓLIDO,6.1,,
1691,ARSENITO DE ESTRONCIO,6.1,,
1692,ESTRICNINA o SALES DE ESTRICNINA,6.1,,
1693,"GASES LACRIMÓGENOS, SUBSTANCIA LÍQUIDA PARA LA FABRICACIÓN DE, N.E.P.",6.1,,Tóxicos
1694,CIANUROS DE BROMOBENCILO LÍQUIDOS,6.1,,
1695,CLOROACETONA ESTABILIZADA,6.1,3\n8,
1697,CLOROACETOFENONA SÓLIDA,6.1,,
1698,DIFENILAMINO- CLOROARSINA,6.1,,
1699,DIFENILCLOROARSINA LÍQUIDA,6.1,,
1700,VELAS LACRIMÓGENAS,6.1,4.1,
1701,"BROMURO DE XILILO, LÍQUIDO",6.1,,
1702,"1,1,2,2-TETRACLOROETANO",6.1,,
1704,DITIOPIROFOSFATO DE TETRAETILO,6.1,,
1707,"TALIO, COMPUESTO DE, N.E.P.",6.1,,Tóxicos
1708,TOLUIDINAS LÍQUIDAS,6.1,,
1709,"TOLUILEN-2,4-DIAMINA SÓLIDA",6.1,,
1710,TRICLOROETILENO,6.1,,
1711,XILIDINAS LÍQUIDAS,6.1,,
1712,"ARSENIATO DE CINC, ARSENITO DE CINC o MEZCLA DE ARSENIATO DE CINC Y ARSENITO DE CINC",6.1,,
1713,CIANURO DE CINC,6.1,,
1714,FOSFURO DE CINC,4.3,6.1,
1715,ANHÍDRIDO ACÉTICO,8,3,
1716,BROMURO DE ACETILO,8,,
1717,CLORURO DE ACETILO,3,8,
1718,FOSFATO ÁCIDO DE BUTILO,8,,
1719,LÍQUIDO ALCALINO CÁUSTICO N.E.P.,8,,Corrosivos.
1722,CLOROFORMIATO DE ALILO,6.1,3\n8,
1723,YODURO DE ALILO,3,8,
1724,ALILTRICLOROSILANO ESTABILIZADO,8,3,
1725,BROMURO DE ALUMINIO ANHIDRO,8,,
1726,CLORURO DE ALUMINIO ANHIDRO,8,,
1727,HIDROGENODIFLUORURO DE AMONIO SÓLIDO,8,,
1728,AMILTRICLOROSILANO,8,,
1729,CLORURO DE ANISOILO,8,,
1730,PENTACLORURO DE ANTIMONIO LÍQUIDO,8,,
1731,PENTACLORURO DE ANTIMONIO EN SOLUCIÓN,8,,
1732,PENTAFLUORURO DE ANTIMONIO,8,6.1,
1733,TRICLORURO DE ANTIMONIO,8,,
1736,CLORURO DE BENZOILO,8,,
1737,BROMURO DE BENCILO,6.1,8,
1738,CLORURO DE BENCILO,6.1,8,
1739,CLOROFORMIATO DE BENCILO,8,,
1740,"HIDROGENODIFLUORUROS SÓLIDOS, N.E.P.",8,,Corrosivos.
1741,TRICLORURO DE BORO,2.3,8,
1742,"TRIFLUORURO DE BORO Y ÁCIDO ACÉTICO, COMPLEJO LÍQUIDO DE",8,,
1743,"TRIFLUORURO DE BORO Y ÁCIDO PROPIÓNICO, COMPLEJO LÍQUIDO DE",8,,
1744,BROMO o BROMO EN SOLUCIÓN,8,6.1,
1745,PENTAFLUORURO DE BROMO,5.1,6.1\n8,
1746,TRIFLUORURO DE BROMO,5.1,6.1\n8,
1747,BUTILTRICLOROSILANO,8,3,
1748,"HIPOCLORITO DE CALCIO SECO o HIPOCLORITO DE CALCIO EN MEZCLA SECA, con más del 39% de cloro activo (8,8% de oxígeno activo)",5.1,,
1749,TRIFLUORURO DE CLORO,2.3,5.1\n8,
1750,ÁCIDO CLOROACÉTICO EN SOLUCIÓN,6.1,8,
1751,ÁCIDO CLOROACÉTICO SÓLIDO,6.1,8,
1752,CLORURO DE CLOROACETILO,6.1,8,
1753,CLOROFENILTRICLOROSILANO,8,,
1754,ÁCIDO CLOROSULFÓNICO (con o sin trióxido de azufre),8,,
1755,ÁCIDO CRÓMICO EN SOLUCIÓN,8,,
1756,FLUORURO DE CROMO(III) SÓLIDO,8,,
1757,FLUORURO DE CROMO(III) EN SOLUCIÓN,8,,
1758,OXICLORURO DE CROMO(VI),8,,
1759,"SÓLIDO CORROSIVO, N.E.P.",8,,Corrosivos.
1760,"LÍQUIDO CORROSIVO, N.E.P.",8,,Corrosivos.
1761,CUPRIETILENDIAMINA EN SOLUCIÓN,8,6.1,
1762,CICLOHEXENILTRICLOROSILANO,8,,
1763,CICLOHEXIL- TRICLOROSILANO,8,,
1764,ÁCIDO DICLOROACÉTICO,8,,
1765,CLORURO DE DICLOROACETILO,8,,
1766,DICLOROFENILTRICLOROSILANO,8,,
1767,DIETILDICLOROSILANO,8,3,
1768,ÁCIDO DIFLUOROFOSFÓRICO ANHIDRO,8,,
1769,DIFENILDICLOROSILANO,8,,
1770,BROMURO DE DIFENILMETILO,8,,
1771,DODECILTRICLOROSILANO,8,,
1773,CLORURO DE HIERRO(III) ANHIDRO,8,,
1774,"EXTINTORES DE INCENDIOS, CARGAS PARA, líquidos corrosivos",8,,
1775,ÁCIDO FLUOROBÓRICO,8,,
1776,ÁCIDO FLUOROFOSFÓRICO ANHIDRO,8,,
1777,ÁCIDO FLUOROSULFÓNICO,8,,
1778,ÁCIDO FLUOROSILÍCICO,8,,
1779,"ÁCIDO FÓRMICO con más del 85%, en masa, de ácido",8,3,
1780,CLORURO DE FUMARILO,8,,
1781,HEXADECIL- TRICLOROSILANO,8,,
1782,ÁCIDO HEXAFLUOROFOSFÓRICO,8,,
1783,HEXAMETILENDIAMINA EN SOLUCIÓN,8,,
1784,HEXILTRICLOROSILANO,8,,
1786,"ÁCIDO FLUORHÍDRICO Y ÁCIDO SULFÚRICO, MEZCLA DE",8,6.1,
1787,ÁCIDO YODHÍDRICO,8,,
1788,ÁCIDO BROMHÍDRICO,8,,
1789,ÁCIDO CLORHÍDRICO,8,,
1790,ÁCIDO FLUORHÍDRICO con más del 60% de fluoruro de hidrógeno,8,6.1,
1790,ÁCIDO FLUORHÍDRICO con un máximo del 60% de fluoruro de hidrógeno,8,6.1,
1791,HIPOCLORITOS EN SOLUCIÓN,8,,
1792,"MONOCLORURO DE YODO, SÓLIDO",8,,
1793,FOSFATO ÁCIDO DE ISOPROPILO,8,,
1794,SULFATO DE PLOMO con más del 3% de ácido libre,8,,
1796,ÁCIDO SULFONÍTRICO EN MEZCLA (ÁCIDO MIXTO) con un máximo del 50% de ácido nítrico,8,5.1,
1796,ÁCIDO SULFONÍTRICO EN MEZCLA (ÁCIDO MIXTO) con un máximo del 50% de ácido nítrico,8,,
1798,ÁCIDO CLORHÍDRICO Y ÁCIDO NÍTRICO EN MEZCLA,8,,
1799,NONILTRICLOROSILANO,8,,
1800,OCTADECIL- TRICLOROSILANO,8,,
1801,OCTILTRICLOROSILANO,8,,
1802,"ÁCIDO PERCLÓRICO con un máximo del 50%, en masa, de ácido",8,5.1,
1803,ÁCIDO FENOLSULFÓNICO LÍQUIDO,8,,
1804,FENILTRICLOROSILANO,8,,
1805,ÁCIDO FOSFÓRICO EN SOLUCIÓN,8,,
1806,PENTACLORURO DE FÓSFORO,8,,
1807,PENTÓXIDO DE FÓSFORO,8,,
1808,TRIBROMURO DE FÓSFORO,8,,
1809,TRICLORURO DE FÓSFORO,6.1,8,
1810,OXICLORURO DE FÓSFORO,6.1,8,
1811,"HIDROGENODIFLUORURO DE POTASIO, SÓLIDO",8,6.1,
1812,FLUORURO DE POTASIO SÓLIDO,6.1,,
1813,HIDRÓXIDO DE POTASIO SÓLIDO,8,,
1814,HIDRÓXIDO DE POTASIO EN SOLUCIÓN,8,,
1815,CLORURO DE PROPIONILO,3,8,
1816,PROPILTRICLOROSILANO,8,3,
1817,CLORURO DE PIROSULFURILO,8,,
1818,TETRACLORURO DE SILICIO,8,,
1819,ALUMINATO DE SODIO EN SOLUCIÓN,8,,
1823,HIDRÓXIDO DE SODIO SÓLIDO,8,,
1824,HIDRÓXIDO DE SODIO EN SOLUCIÓN,8,,
1825,MONÓXIDO DE SODIO,8,,
1826,ÁCIDO SULFONÍTRICO EN MEZCLA AGOTADO (ÁCIDO MIXTO RESIDUAL) con más del 50% de ácido nítrico,8,5.1,
1826,ÁCIDO SULFONÍTRICO EN MEZCLA AGOTADO (ÁCIDO MIXTO RESIDUAL) con no más del 50% de ácido nítrico,8,,
1827,CLORURO DE ESTAÑO(IV) ANHIDRO,8,,
1828,CLORUROS DE AZUFRE,8,,
1829,TRIÓXIDO DE AZUFRE ESTABILIZADO,8,,
1830,ÁCIDO SULFÚRICO con más del 51% de ácido,8,,
1831,ÁCIDO SULFÚRICO FUMANTE,8,6.1,
1832,ÁCIDO SULFÚRICO AGOTADO,8,,
1833,ÁCIDO SULFUROSO,8,,
1834,CLORURO DE SULFURILO,6.1,8,
1835,HIDRÓXIDO DE TETRAMETILAMONIO EN SOLUCIÓN,8,,
1836,CLORURO DE TIONILO,8,,
1837,CLORURO DE TIOFOSFORILO,8,,
1838,TETRACLORURO DE TITANIO,6.1,8,
1839,ÁCIDO TRICLOROACÉTICO,8,,
1840,CLORURO DE CINC EN SOLUCIÓN,8,,
1841,ACETALDEHÍDO DE AMONIO,9,,
1843,"DINITRO-o-CRESOLATO DE AMONIO, SÓLIDO",6.1,,
1845,DIÓXIDO DE CARBONO SÓLIDO (HIELO SECO),9,,
1846,TETRACLORURO DE CARBONO,6.1,,
1847,SULFURO DE POTASIO HIDRATADO con un mínimo del 30% de agua de cristalización,8,,
1848,"ÁCIDO PROPIÓNICO con un mínimo del 10% y un máximo de 90%, en masa, de ácido",8,,
1849,SULFURO DE SODIO HIDRATADO con un mínimo del 30% de agua,8,,
1851,"MEDICAMENTO LÍQUIDO, TÓXICO, N.E.P.",6.1,,Tóxicos
1854,"BARIO, ALEACIONES PIROFÓRICAS DE",4.2,,
1855,"CALCIO PIROFÓRICO o CALCIO, ALEACIONES PIROFÓRICAS DE",4.2,,
1856,TRAPOS GRASIENTOS,4.2,,
1857,DESECHOS TEXTILES HÚMEDOS,4.2,,
1858,HEXAFLUOROPROPILENO (GAS REFRIGERANTE R 1216),2.2,,
1859,TETRAFLUORURO DE SILICIO,2.3,8,
1860,FLUORURO DE VINILO ESTABILIZADO,2.1,,
1862,CROTONATO DE ETILO,3,,
1863,COMBUSTIBLE PARA MOTORES DE TURBINA DE AVIACIÓN,3,,
1865,NITRATO DE n-PROPILO,3,,
1866,"RESINA, SOLUCIONES DE, inflamables",3,,
1868,DECABORANO,4.1,6.1,
1869,"MAGNESIO o ALEACIONES DE MAGNESIO con más del 50% de magnesio en recortes, gránulos o tiras",4.1,,
1870,BOROHIDRURO DE POTASIO,4.3,,
1871,HIDRURO DE TITANIO,4.1,,
1872,DIÓXIDO DE PLOMO,5.1,,
1873,"ÁCIDO PERCLÓRICO con más del 50% pero no más del 72%, en masa, de ácido",5.1,8,
1884,ÓXIDO DE BARIO,6.1,,
1885,BENCIDINA,6.1,,
1886,CLORURO DE BENCILIDENO,6.1,,
1887,BROMOCLOROMETANO,6.1,,
1888,CLOROFORMO,6.1,,
1889,BROMURO DE CIANÓGENO,6.1,8,
1891,BROMURO DE ETILO,3,6.1,
1892,ETILDICLOROARSINA,6.1,,
1894,HIDRÓXIDO DE FENILMERCURIO,6.1,,
1895,NITRATO DE FENILMERCURIO,6.1,,
1897,TETRACLOROETILENO,6.1,,
1898,YODURO DE ACETILO,8,,
1902,FOSFATO ÁCIDO DE DIISOOCTILO,8,,
1903,"DESINFECTANTE LÍQUIDO CORROSIVO, N.E.P.",8,,
1905,ÁCIDO SELÉNICO,8,,
1906,LODOS ÁCIDOS,8,,
1907,CAL SODADA con más del 4% de hidróxido de sodio,8,,
1908,CLORITOS EN SOLUCIÓN,8,,
1910,ÓXIDO DE CALCIO,8,,
1911,DIBORANO,2.3,2.1,
1912,"CLORURO DE METILO Y CLORURO DE METILENO, MEZCLA DE",2.1,,
1913,NEÓN LÍQUIDO REFRIGERADO,2.2,,
1914,PROPIONATOS DE BUTILO,3,,
1915,CICLOHEXANONA,3,,
1916,"ÉTER 2,2'- DICLORODIETÍLICO",6.1,3,
1917,ACRILATO DE ETILO ESTABILIZADO,3,,
1918,ISOPROPILBENCENO,3,,
1919,ACRILATO DE METILO ESTABILIZADO,3,,
1920,NONANOS,3,,
1921,PROPILENIMINA ESTABILIZADA,3,6.1,
1922,PIRROLIDINA,3,8,
1923,DITIONITO DE CALCIO (HIDROSULFITO CÁLCICO),4.2,,
1928,BROMURO DE METILMAGNESIO EN ÉTER ETÍLICO,4.3,3,
1929,DITIONITO POTÁSICO (HIDROSULFITO POTÁSICO),4.2,,
1931,DITIONITO DE CINC (HIDROSULFITO DE CINC),9,,
1932,"CIRCONIO, DESECHOS DE",4.2,,
1935,"CIANURO EN SOLUCIÓN, N.E.P.",6.1,,Tóxicos
1938,ÁCIDO BROMOACÉTICO EN SOLUCIÓN,8,,
1939,OXIBROMURO DE FÓSFORO,8,,
1940,ÁCIDO TIOGLICÓLICO,8,,
1941,DIBROMODIFLUORO- METANO,9,,
1942,"NITRATO DE AMONIO con un máximo del 0,2% de substancias combustibles, incluida toda substancia orgánica expresada en equivalente de carbono, con exclusión de cualquier otra substancia añadida",5.1,,
1944,"FÓSFOROS DE SEGURIDAD (en estuches, cartones o cajas)",4.1,,
1945,"FÓSFOROS DE CERA ""VESTA""",4.1,,
1950,AEROSOLES,2,,
1951,ARGÓN LÍQUIDO REFRIGERADO,2.2,,
1952,"ÓXIDO DE ETILENO Y DIÓXIDO DE CARBONO, MEZCLA DE, con un máximo del 9% de óxido de etileno",2.2,,
1953,"GAS COMPRIMIDO TÓXICO, INFLAMABLE, N.E.P.",2.3,2.1,Gases tóxicos.
1954,"GAS COMPRIMIDO INFLAMABLE, N.E.P.",2.1,,Gases inflamables.
1955,"GAS COMPRIMIDO TÓXICO, N.E.P.",2.3,,Gases tóxicos.
1956,"GAS COMPRIMIDO, N.E.P.",2.2,,"Gases no inflamables, no tóxicos."
1957,DEUTERIO COMPRIMIDO,2.1,,
1958,"1,2-DICLORO-1,1,2,2- TETRAFLUOROETANO (GAS REFRIGERANTE R 114)",2.2,,
1959,"1,1-DIFLUOROETILENO (GAS REFRIGERANTE R 1132a)",2.1,,
1961,ETANO LÍQUIDO REFRIGERADO,2.1,,
1962,ETILENO,2.1,,
1963,HELIO LÍQUIDO REFRIGERADO,2.2,,
1964,"HIDROCARBUROS GASEOSOS COMPRIMIDOS EN MEZCLA, N.E.P.",2.1,,Gases inflamables.
1965,"HIDROCARBUROS GASEOSOS LICUADOS EN MEZCLA, N.E.P.",2.1,,Gases inflamables.
1966,HIDRÓGENO LÍQUIDO REFRIGERADO,2.1,,
1967,"INSECTICIDA GASEOSO TÓXICO, N.E.P.",2.3,,Gases tóxicos.
1968,"INSECTICIDA GASEOSO, N.E.P.",2.2,,"Gases no inflamables, no tóxicos."
1969,ISOBUTANO,2.1,,
1970,CRIPTÓN LÍQUIDO REFRIGERADO,2.2,,
1971,METANO COMPRIMIDO o GAS NATURAL COMPRIMIDO con alta proporción de metano,2.1,,
1972,METANO LÍQUIDO REFRIGERADO o GAS NATURAL LÍQUIDO REFRIGERADO con alta proporción de metano,2.1,,
